Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
08/27/1996 12:00:00 AM,Culiseta,minnesotae,Female,,18,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
06/17/2003 12:00:00 AM,Culiseta,inornata,Female,,3,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
06/13/2017 12:00:00 AM,Ochlerotatus,spp.,Female,UnID,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
06/08/2004 12:00:00 AM,Male,UnID,Male,UnID,2,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
08/11/1998 12:00:00 AM,Ochlerotatus,flavescens,Female,,58,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
05/22/2018 12:00:00 AM,Ochlerotatus,spp.,Female,UnID,1,Outer Community-North East,,Outer,53.77447010,-113.37208810,POINT (-113.3720881 53.7744701)
07/03/2012 12:00:00 AM,Ochlerotatus,euedes,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
06/04/2013 12:00:00 AM,Ochlerotatus,fitchii,Female,,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.22135870000001 53.6067218)
09/21/2010 12:00:00 AM,Aedes,spp.,Female,UnID,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
07/28/1998 12:00:00 AM,Ochlerotatus,flavescens,Female,,1,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
08/05/2014 12:00:00 AM,Culiseta,minnesotae,Female,,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.22135870000001 53.6067218)
06/10/2003 12:00:00 AM,Ochlerotatus,excrucians,Female,,3,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
09/11/2018 12:00:00 AM,Culex,territans,Female,,2,Rural-South West,,Peripheral,53.52858720,-113.73807010,POINT (-113.7380701 53.5285872)
08/30/2011 12:00:00 AM,Ochlerotatus,sticticus,Female,,1,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
09/05/2017 12:00:00 AM,Male,UnID,Male,UnID,26,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
07/24/2007 12:00:00 AM,Culiseta,alaskaensis,Female,,5,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
08/13/2013 12:00:00 AM,Anopheles,earlei,Female,,2,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
07/14/2015 12:00:00 AM,Aedes,vexans,Female,,77,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
07/14/2015 12:00:00 AM,Culiseta,inornata,Female,,10,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
07/06/2010 12:00:00 AM,Culiseta,inornata,Female,,3,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
07/21/2020 12:00:00 AM,Misc,UnID,Female,UnID,3,River Valley-East,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
09/02/2014 12:00:00 AM,Male,UnID,Male,UnID,25,Outer Community-South West,,Outer,53.43593000,-113.76189000,POINT (-113.76189 53.43593)
05/21/1996 12:00:00 AM,Culiseta,spp.,Female,UnID,1,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
05/20/1997 12:00:00 AM,Culiseta,morsitans,Female,,3,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
09/06/2011 12:00:00 AM,Culiseta,inornata,Female,,9,Residential-North,,Core,53.57945910,-113.49926240,POINT (-113.4992624 53.5794591)
07/05/2011 12:00:00 AM,Ochlerotatus,fitchii,Female,,2,Residential-South,No,Other,53.45749000,-113.42539000,POINT (-113.42539 53.45749)
07/13/2010 12:00:00 AM,Anopheles,earlei,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
05/24/2011 12:00:00 AM,Ochlerotatus,spencerii,Female,,16,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
09/05/2017 12:00:00 AM,Anopheles,earlei,Female,,2,Outer Community-South West,,Outer,53.40827000,-113.76136000,POINT (-113.76136 53.40827)
07/17/2018 12:00:00 AM,Aedes,vexans,Female,,57,Residential GC-South,,Core,53.48205730,-113.41834550,POINT (-113.4183455 53.4820573)
08/07/2018 12:00:00 AM,Culex,territans,Female,,7,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
07/26/2005 12:00:00 AM,Culiseta,inornata,Female,,157,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
07/03/2012 12:00:00 AM,Male,UnID,Male,UnID,4,Residential-South,No,Other,53.45749000,-113.42539000,POINT (-113.42539 53.45749)
09/20/2016 12:00:00 AM,Male,UnID,Male,UnID,28,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
07/09/2019 12:00:00 AM,Aedes,vexans,Female,,44,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
07/13/1999 12:00:00 AM,Anopheles,earlei,Female,,1,River Valley-GC2-East,,Core,53.55335800,-113.46263200,POINT (-113.462632 53.553358)
08/26/2014 12:00:00 AM,Culex,territans,Female,,2,Residential-South,No,Other,53.45749000,-113.42539000,POINT (-113.42539 53.45749)
07/21/2015 12:00:00 AM,Mansonia,perturbans,Female,,2,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
